time,RHI1_X,RHI1_Y,RHI1_Z,RHI2_X,RHI2_Y,RHI2_Z,RHI3_X,RHI3_Y,RHI3_Z,RHI4_X,RHI4_Y,RHI4_Z,RHI5_X,RHI5_Y,RHI5_Z,RHI6_X,RHI6_Y,RHI6_Z,RTHI1_X,RTHI1_Y,RTHI1_Z,RIF1_X,RIF1_Y,RIF1_Z,RTF1_X,RTF1_Y,RTF1_Z,RRF1_X,RRF1_Y,RRF1_Z,RPF1_X,RPF1_Y,RPF1_Z,RTHI2_X,RTHI2_Y,RTHI2_Z,RIF2_X,RIF2_Y,RIF2_Z,RTF2_X,RTF2_Y,RTF2_Z,RRF2_X,RRF2_Y,RRF2_Z,RPF2_X,RPF2_Y,RPF2_Z,RTHI3_X,RTHI3_Y,RTHI3_Z,RIF3_X,RIF3_Y,RIF3_Z,RTF3_X,RTF3_Y,RTF3_Z,RRF3_X,RRF3_Y,RRF3_Z,RPF3_X,RPF3_Y,RPF3_Z
195.2713,-0.04095127,0.25297,-0.150352,0.01061093,0.2472271,-0.09903337,-0.007040781,0.2466939,-0.08596911,-0.02774056,0.2430741,-0.07883475,-0.04752123,0.2371642,-0.07470282,-0.06749291,0.2412148,-0.1284876,0.009637453,0.2217769,-0.1558715,0.03831452,0.2379802,-0.06893118,0.02114505,0.237673,-0.04961633,-0.006602221,0.2334211,-0.04217752,-0.03537721,0.2261317,-0.04463225,0.04012965,0.2121711,-0.1461913,0.04785571,0.2183205,-0.0602775,0.03373295,0.2146903,-0.04071907,0.006081233,0.2116472,-0.03286515,-0.02589422,0.2100218,-0.04234561,0.05270674,0.2049868,-0.1362718,0.0489369,0.2055834,-0.06032525,0.03584512,0.2010255,-0.04300796,0.009542119,0.1985236,-0.03602532,-0.0213094,0.199644,-0.0483796
195.2776,-0.04095127,0.25297,-0.150352,0.01061093,0.2472271,-0.09903337,-0.007040781,0.2466939,-0.08596911,-0.02774056,0.2430741,-0.07883475,-0.04752123,0.2371642,-0.07470282,-0.06749291,0.2412148,-0.1284876,0.009637453,0.2217769,-0.1558715,0.03831452,0.2379802,-0.06893118,0.02114505,0.237673,-0.04961633,-0.006602221,0.2334211,-0.04217752,-0.03537721,0.2261317,-0.04463225,0.04012965,0.2121711,-0.1461913,0.04785571,0.2183205,-0.0602775,0.03373295,0.2146903,-0.04071907,0.006081233,0.2116472,-0.03286515,-0.02589422,0.2100218,-0.04234561,0.05270674,0.2049868,-0.1362718,0.0489369,0.2055834,-0.06032525,0.03584512,0.2010255,-0.04300796,0.009542119,0.1985236,-0.03602532,-0.0213094,0.199644,-0.0483796
195.2887,-0.04095127,0.25297,-0.150352,0.01061093,0.2472271,-0.09903337,-0.007040781,0.2466939,-0.08596911,-0.02774056,0.2430741,-0.07883475,-0.04752123,0.2371642,-0.07470282,-0.06749291,0.2412148,-0.1284876,0.009637453,0.2217769,-0.1558715,0.03831452,0.2379802,-0.06893118,0.02114505,0.237673,-0.04961633,-0.006602221,0.2334211,-0.04217752,-0.03537721,0.2261317,-0.04463225,0.04012965,0.2121711,-0.1461913,0.04785571,0.2183205,-0.0602775,0.03373295,0.2146903,-0.04071907,0.006081233,0.2116472,-0.03286515,-0.02589422,0.2100218,-0.04234561,0.05270674,0.2049868,-0.1362718,0.0489369,0.2055834,-0.06032525,0.03584512,0.2010255,-0.04300796,0.009542119,0.1985236,-0.03602532,-0.0213094,0.199644,-0.0483796
195.2998,-0.04095127,0.25297,-0.150352,0.01061093,0.2472271,-0.09903337,-0.007040781,0.2466939,-0.08596911,-0.02774056,0.2430741,-0.07883475,-0.04752123,0.2371642,-0.07470282,-0.06749291,0.2412148,-0.1284876,0.009637453,0.2217769,-0.1558715,0.03831452,0.2379802,-0.06893118,0.02114505,0.237673,-0.04961633,-0.006602221,0.2334211,-0.04217752,-0.03537721,0.2261317,-0.04463225,0.04012965,0.2121711,-0.1461913,0.04785571,0.2183205,-0.0602775,0.03373295,0.2146903,-0.04071907,0.006081233,0.2116472,-0.03286515,-0.02589422,0.2100218,-0.04234561,0.05270674,0.2049868,-0.1362718,0.0489369,0.2055834,-0.06032525,0.03584512,0.2010255,-0.04300796,0.009542119,0.1985236,-0.03602532,-0.0213094,0.199644,-0.0483796
195.3109,-0.04095127,0.25297,-0.150352,0.01061093,0.2472271,-0.09903337,-0.007040781,0.2466939,-0.08596911,-0.02774056,0.2430741,-0.07883475,-0.04752123,0.2371642,-0.07470282,-0.06749291,0.2412148,-0.1284876,0.009637453,0.2217769,-0.1558715,0.03831452,0.2379802,-0.06893118,0.02114505,0.237673,-0.04961633,-0.006602221,0.2334211,-0.04217752,-0.03537721,0.2261317,-0.04463225,0.04012965,0.2121711,-0.1461913,0.04785571,0.2183205,-0.0602775,0.03373295,0.2146903,-0.04071907,0.006081233,0.2116472,-0.03286515,-0.02589422,0.2100218,-0.04234561,0.05270674,0.2049868,-0.1362718,0.0489369,0.2055834,-0.06032525,0.03584512,0.2010255,-0.04300796,0.009542119,0.1985236,-0.03602532,-0.0213094,0.199644,-0.0483796
195.3176,-0.04094584,0.2528909,-0.150642,0.0107504,0.2478069,-0.09938894,-0.006875793,0.247149,-0.08630928,-0.02752713,0.2433566,-0.07912584,-0.04722793,0.2372196,-0.07492895,-0.06732201,0.2409189,-0.1286931,0.009845867,0.2217449,-0.1556054,0.03873396,0.2390344,-0.06939923,0.02150866,0.2389225,-0.04995412,-0.006214682,0.2345282,-0.04238779,-0.03495725,0.2268768,-0.04464924,0.04065651,0.2126461,-0.1463662,0.0482835,0.2192922,-0.06089657,0.03416786,0.2159001,-0.0412522,0.006526583,0.2126899,-0.03329559,-0.02537292,0.2107678,-0.04250631,0.05332637,0.2056818,-0.1363748,0.04924729,0.2065347,-0.06108929,0.03634449,0.2022374,-0.04350773,0.009968666,0.199561,-0.03646226,-0.02074869,0.2003402,-0.04846535
195.3331,-0.04094584,0.2528909,-0.150642,0.0107504,0.2478069,-0.09938894,-0.006875793,0.247149,-0.08630928,-0.02752713,0.2433566,-0.07912584,-0.04722793,0.2372196,-0.07492895,-0.06732201,0.2409189,-0.1286931,0.009845867,0.2217449,-0.1556054,0.03873396,0.2390344,-0.06939923,0.02150866,0.2389225,-0.04995412,-0.006214682,0.2345282,-0.04238779,-0.03495725,0.2268768,-0.04464924,0.04065651,0.2126461,-0.1463662,0.0482835,0.2192922,-0.06089657,0.03416786,0.2159001,-0.0412522,0.006526583,0.2126899,-0.03329559,-0.02537292,0.2107678,-0.04250631,0.05332637,0.2056818,-0.1363748,0.04924729,0.2065347,-0.06108929,0.03634449,0.2022374,-0.04350773,0.009968666,0.199561,-0.03646226,-0.02074869,0.2003402,-0.04846535
195.3376,-0.04095467,0.2529418,-0.1508358,0.01073846,0.2479288,-0.09957333,-0.006888736,0.2472291,-0.08649679,-0.02753405,0.2433981,-0.07931798,-0.04722442,0.2372283,-0.07511984,-0.06731255,0.2409161,-0.1288868,0.009835151,0.2215741,-0.155576,0.03873275,0.2391885,-0.06959797,0.02152227,0.2390276,-0.05017477,-0.006203112,0.234624,-0.04259511,-0.03493158,0.2269079,-0.04484795,0.04065879,0.21243,-0.1463898,0.04833003,0.2194871,-0.0610703,0.03415935,0.2159827,-0.04151939,0.006515757,0.2127609,-0.03355258,-0.0253357,0.2108025,-0.0427359,0.05339058,0.2054692,-0.1364632,0.04934315,0.2067358,-0.06122514,0.03636857,0.2023197,-0.04371661,0.009967242,0.1996273,-0.03666873,-0.02070291,0.200376,-0.04869034
195.3554,-0.04095467,0.2529418,-0.1508358,0.01073846,0.2479288,-0.09957333,-0.006888736,0.2472291,-0.08649679,-0.02753405,0.2433981,-0.07931798,-0.04722442,0.2372283,-0.07511984,-0.06731255,0.2409161,-0.1288868,0.009835151,0.2215741,-0.155576,0.03873275,0.2391885,-0.06959797,0.02152227,0.2390276,-0.05017477,-0.006203112,0.234624,-0.04259511,-0.03493158,0.2269079,-0.04484795,0.04065879,0.21243,-0.1463898,0.04833003,0.2194871,-0.0610703,0.03415935,0.2159827,-0.04151939,0.006515757,0.2127609,-0.03355258,-0.0253357,0.2108025,-0.0427359,0.05339058,0.2054692,-0.1364632,0.04934315,0.2067358,-0.06122514,0.03636857,0.2023197,-0.04371661,0.009967242,0.1996273,-0.03666873,-0.02070291,0.200376,-0.04869034
195.3665,-0.04095467,0.2529418,-0.1508358,0.01073846,0.2479288,-0.09957333,-0.006888736,0.2472291,-0.08649679,-0.02753405,0.2433981,-0.07931798,-0.04722442,0.2372283,-0.07511984,-0.06731255,0.2409161,-0.1288868,0.009835151,0.2215741,-0.155576,0.03873275,0.2391885,-0.06959797,0.02152227,0.2390276,-0.05017477,-0.006203112,0.234624,-0.04259511,-0.03493158,0.2269079,-0.04484795,0.04065879,0.21243,-0.1463898,0.04833003,0.2194871,-0.0610703,0.03415935,0.2159827,-0.04151939,0.006515757,0.2127609,-0.03355258,-0.0253357,0.2108025,-0.0427359,0.05339058,0.2054692,-0.1364632,0.04934315,0.2067358,-0.06122514,0.03636857,0.2023197,-0.04371661,0.009967242,0.1996273,-0.03666873,-0.02070291,0.200376,-0.04869034
