time,RHI1_X,RHI1_Y,RHI1_Z,RHI2_X,RHI2_Y,RHI2_Z,RHI3_X,RHI3_Y,RHI3_Z,RHI4_X,RHI4_Y,RHI4_Z,RHI5_X,RHI5_Y,RHI5_Z,RHI6_X,RHI6_Y,RHI6_Z,RTHI1_X,RTHI1_Y,RTHI1_Z,RIF1_X,RIF1_Y,RIF1_Z,RTF1_X,RTF1_Y,RTF1_Z,RRF1_X,RRF1_Y,RRF1_Z,RPF1_X,RPF1_Y,RPF1_Z,RTHI2_X,RTHI2_Y,RTHI2_Z,RIF2_X,RIF2_Y,RIF2_Z,RTF2_X,RTF2_Y,RTF2_Z,RRF2_X,RRF2_Y,RRF2_Z,RPF2_X,RPF2_Y,RPF2_Z,RTHI3_X,RTHI3_Y,RTHI3_Z,RIF3_X,RIF3_Y,RIF3_Z,RTF3_X,RTF3_Y,RTF3_Z,RRF3_X,RRF3_Y,RRF3_Z,RPF3_X,RPF3_Y,RPF3_Z
195.2713,0.01299476,0.2609058,-0.1382359,-0.03287151,0.2589279,-0.08148596,-0.04749635,0.2547897,-0.09738278,-0.05613994,0.2473368,-0.1164712,-0.0611151,0.237396,-0.1344247,-0.009951299,0.243119,-0.160104,0.01789039,0.2373469,-0.08623033,-0.05910316,0.2501835,-0.05177732,-0.0798489,0.2464545,-0.06632119,-0.08860597,0.240016,-0.09024357,-0.08991161,0.2307532,-0.118854,0.005071959,0.2285085,-0.05762881,-0.06344007,0.2300555,-0.0421189,-0.08513449,0.2269908,-0.04854455,-0.09589352,0.223455,-0.07125043,-0.09763231,0.2203292,-0.105859,-0.004474705,0.2215054,-0.04515127,-0.06169605,0.217907,-0.04088756,-0.08157381,0.2150669,-0.04295527,-0.09367474,0.212727,-0.06317679,-0.09700387,0.2115062,-0.09704019
195.2776,0.01299476,0.2609058,-0.1382359,-0.03287151,0.2589279,-0.08148596,-0.04749635,0.2547897,-0.09738278,-0.05613994,0.2473368,-0.1164712,-0.0611151,0.237396,-0.1344247,-0.009951299,0.243119,-0.160104,0.01789039,0.2373469,-0.08623033,-0.05910316,0.2501835,-0.05177732,-0.0798489,0.2464545,-0.06632119,-0.08860597,0.240016,-0.09024357,-0.08991161,0.2307532,-0.118854,0.005071959,0.2285085,-0.05762881,-0.06344007,0.2300555,-0.0421189,-0.08513449,0.2269908,-0.04854455,-0.09589352,0.223455,-0.07125043,-0.09763231,0.2203292,-0.105859,-0.004474705,0.2215054,-0.04515127,-0.06169605,0.217907,-0.04088756,-0.08157381,0.2150669,-0.04295527,-0.09367474,0.212727,-0.06317679,-0.09700387,0.2115062,-0.09704019
195.2887,0.01299476,0.2609058,-0.1382359,-0.03287151,0.2589279,-0.08148596,-0.04749635,0.2547897,-0.09738278,-0.05613994,0.2473368,-0.1164712,-0.0611151,0.237396,-0.1344247,-0.009951299,0.243119,-0.160104,0.01789039,0.2373469,-0.08623033,-0.05910316,0.2501835,-0.05177732,-0.0798489,0.2464545,-0.06632119,-0.08860597,0.240016,-0.09024357,-0.08991161,0.2307532,-0.118854,0.005071959,0.2285085,-0.05762881,-0.06344007,0.2300555,-0.0421189,-0.08513449,0.2269908,-0.04854455,-0.09589352,0.223455,-0.07125043,-0.09763231,0.2203292,-0.105859,-0.004474705,0.2215054,-0.04515127,-0.06169605,0.217907,-0.04088756,-0.08157381,0.2150669,-0.04295527,-0.09367474,0.212727,-0.06317679,-0.09700387,0.2115062,-0.09704019
195.2998,0.01299476,0.2609058,-0.1382359,-0.03287151,0.2589279,-0.08148596,-0.04749635,0.2547897,-0.09738278,-0.05613994,0.2473368,-0.1164712,-0.0611151,0.237396,-0.1344247,-0.009951299,0.243119,-0.160104,0.01789039,0.2373469,-0.08623033,-0.05910316,0.2501835,-0.05177732,-0.0798489,0.2464545,-0.06632119,-0.08860597,0.240016,-0.09024357,-0.08991161,0.2307532,-0.118854,0.005071959,0.2285085,-0.05762881,-0.06344007,0.2300555,-0.0421189,-0.08513449,0.2269908,-0.04854455,-0.09589352,0.223455,-0.07125043,-0.09763231,0.2203292,-0.105859,-0.004474705,0.2215054,-0.04515127,-0.06169605,0.217907,-0.04088756,-0.08157381,0.2150669,-0.04295527,-0.09367474,0.212727,-0.06317679,-0.09700387,0.2115062,-0.09704019
195.3109,0.01299476,0.2609058,-0.1382359,-0.03287151,0.2589279,-0.08148596,-0.04749635,0.2547897,-0.09738278,-0.05613994,0.2473368,-0.1164712,-0.0611151,0.237396,-0.1344247,-0.009951299,0.243119,-0.160104,0.01789039,0.2373469,-0.08623033,-0.05910316,0.2501835,-0.05177732,-0.0798489,0.2464545,-0.06632119,-0.08860597,0.240016,-0.09024357,-0.08991161,0.2307532,-0.118854,0.005071959,0.2285085,-0.05762881,-0.06344007,0.2300555,-0.0421189,-0.08513449,0.2269908,-0.04854455,-0.09589352,0.223455,-0.07125043,-0.09763231,0.2203292,-0.105859,-0.004474705,0.2215054,-0.04515127,-0.06169605,0.217907,-0.04088756,-0.08157381,0.2150669,-0.04295527,-0.09367474,0.212727,-0.06317679,-0.09700387,0.2115062,-0.09704019
195.3176,0.01327788,0.261033,-0.1380766,-0.03262503,0.2591365,-0.08135352,-0.04722471,0.254941,-0.09725176,-0.05584576,0.247415,-0.1163217,-0.06079832,0.2374108,-0.1342465,-0.009626616,0.2431513,-0.159906,0.01815472,0.2375604,-0.08597127,-0.05883138,0.2503342,-0.05159987,-0.07953144,0.2465365,-0.06614242,-0.08829249,0.2399982,-0.09007356,-0.0895782,0.2306385,-0.1186529,0.005276892,0.2287586,-0.05736901,-0.06304745,0.2301641,-0.0419235,-0.08470385,0.2270753,-0.04831845,-0.09542524,0.2233952,-0.07104331,-0.09723033,0.2201595,-0.1056402,-0.004276063,0.221803,-0.04485655,-0.06126295,0.2180113,-0.04065062,-0.08111998,0.2151781,-0.04267664,-0.09312294,0.2126879,-0.06295536,-0.09651567,0.2113279,-0.09682611
195.3331,0.01327788,0.261033,-0.1380766,-0.03262503,0.2591365,-0.08135352,-0.04722471,0.254941,-0.09725176,-0.05584576,0.247415,-0.1163217,-0.06079832,0.2374108,-0.1342465,-0.009626616,0.2431513,-0.159906,0.01815472,0.2375604,-0.08597127,-0.05883138,0.2503342,-0.05159987,-0.07953144,0.2465365,-0.06614242,-0.08829249,0.2399982,-0.09007356,-0.0895782,0.2306385,-0.1186529,0.005276892,0.2287586,-0.05736901,-0.06304745,0.2301641,-0.0419235,-0.08470385,0.2270753,-0.04831845,-0.09542524,0.2233952,-0.07104331,-0.09723033,0.2201595,-0.1056402,-0.004276063,0.221803,-0.04485655,-0.06126295,0.2180113,-0.04065062,-0.08111998,0.2151781,-0.04267664,-0.09312294,0.2126879,-0.06295536,-0.09651567,0.2113279,-0.09682611
195.3376,0.0132226,0.2611132,-0.1380475,-0.03248713,0.2591238,-0.08117169,-0.0470721,0.2545369,-0.09701414,-0.05562765,0.2467101,-0.1159912,-0.06044276,0.236458,-0.133809,-0.009429032,0.242665,-0.1596751,0.01833806,0.23744,-0.08597612,-0.05886202,0.2504363,-0.0516015,-0.07951628,0.2464039,-0.0660978,-0.08823703,0.2397109,-0.089977,-0.08941957,0.2303397,-0.1186103,0.005458577,0.2287097,-0.05742316,-0.0630573,0.2303293,-0.04184327,-0.08460296,0.2269342,-0.04831808,-0.09515475,0.2230462,-0.07099859,-0.09673835,0.2197717,-0.1056007,-0.004151598,0.2219627,-0.04489313,-0.06116637,0.2182059,-0.04055633,-0.08102295,0.2150669,-0.04265926,-0.09282048,0.2123609,-0.06294066,-0.09595183,0.2109372,-0.09685685
195.3554,0.0132226,0.2611132,-0.1380475,-0.03248713,0.2591238,-0.08117169,-0.0470721,0.2545369,-0.09701414,-0.05562765,0.2467101,-0.1159912,-0.06044276,0.236458,-0.133809,-0.009429032,0.242665,-0.1596751,0.01833806,0.23744,-0.08597612,-0.05886202,0.2504363,-0.0516015,-0.07951628,0.2464039,-0.0660978,-0.08823703,0.2397109,-0.089977,-0.08941957,0.2303397,-0.1186103,0.005458577,0.2287097,-0.05742316,-0.0630573,0.2303293,-0.04184327,-0.08460296,0.2269342,-0.04831808,-0.09515475,0.2230462,-0.07099859,-0.09673835,0.2197717,-0.1056007,-0.004151598,0.2219627,-0.04489313,-0.06116637,0.2182059,-0.04055633,-0.08102295,0.2150669,-0.04265926,-0.09282048,0.2123609,-0.06294066,-0.09595183,0.2109372,-0.09685685
195.3665,0.0132226,0.2611132,-0.1380475,-0.03248713,0.2591238,-0.08117169,-0.0470721,0.2545369,-0.09701414,-0.05562765,0.2467101,-0.1159912,-0.06044276,0.236458,-0.133809,-0.009429032,0.242665,-0.1596751,0.01833806,0.23744,-0.08597612,-0.05886202,0.2504363,-0.0516015,-0.07951628,0.2464039,-0.0660978,-0.08823703,0.2397109,-0.089977,-0.08941957,0.2303397,-0.1186103,0.005458577,0.2287097,-0.05742316,-0.0630573,0.2303293,-0.04184327,-0.08460296,0.2269342,-0.04831808,-0.09515475,0.2230462,-0.07099859,-0.09673835,0.2197717,-0.1056007,-0.004151598,0.2219627,-0.04489313,-0.06116637,0.2182059,-0.04055633,-0.08102295,0.2150669,-0.04265926,-0.09282048,0.2123609,-0.06294066,-0.09595183,0.2109372,-0.09685685
